academic_year,title,description,location,date,time,link,photo,category
25-26,Student Research Talks,"Join us for our Student Research Showcase, where Emma Landry (5th year PhD Candidate) and Carolyn Winskill (4th year PhD Student) will be sharing the biostatistics research they're currently working on. Check the instagram for their abstracts!",CHS 43-105,1/13/25,12:00 PM,,images/lunchlearn_1.JPG,Lunch and Learn
25-26,Faculty Flash Talk I,"Join us for lunch & discussions about what they're currently researching. This is your chance to hear directly from faculty and get plugged in. For this quarter we have Dr. Donatello Telesco, Andrew Holbrook, Michele Guindani, and Jin Zhou!",NRB Auditorium,2/6/26,12:00 PM,,images/lunchlearn_2.JPG,Lunch and Learn
25-26,Winter Townhall: BSA 101,Learn about the functions of BSA and our upcoming projects!,CHS 76-059,2/10/26,12:00 PM,,placeholder,Townhall
25-26,Faculty Flash Talk II,Join us for lunch & discussions about what they're currently researching. This is your chance to hear directly from faculty and get plugged in. For this quarter we have Dr. Guang Cheng and Jason Xu,CHS 73-105,3/6/26,12:00 PM,,images/lunchlearn_3.JPG,Lunch and Learn
25-26,Spring Townhall,"Get updates about ongoing BSA projects and a FREE LUNCH! <br><br> During the spring townhall, we talk about updates to the student directory, Biostatistics T-Shirt Sale, and our upcoming Alumni Mixer Event! RSVP Link coming soon!",TBD,5/8/26,12:00 PM,,placeholder,Townhall
25-26,Annual Alumni Mixer & Panel,"The Biostatistics Student Association is proud to host our 2026 Alumni Mixer Panel.<br><br>This panel provides an opportunity for students to learn about alumni career journeys, gain insights into their professional experience, and hear about the resources at UCLA that supported their path.<br><br><strong>Event Details:</strong><br>Friday, May 1, 2026<br>5:30 to 8:30pm PDT<br>Location: UCLA (in-person)<br><br>Dinner will be provided for all in-person attendees, and parking on campus will be covered.<br><br><strong>Schedule:</strong><br><ul><li><strong>Alumni Panel (5:30 to 7:00pm):</strong> A moderated discussion where alumni share their career journeys, professional experiences, and reflections on their time at UCLA. Alumni joining from out of state are welcome to participate via Zoom.</li><li><strong>Mixer (7:00 to 8:30pm):</strong> An informal in-person gathering where students, faculty, and alumni can mingle over dinner.</li></ul><br>Whether you're joining us on campus or over Zoom for the panel, we'd love to have you!",UCLA Mathias Botanical Garden,5/1/26,5:00 PM,,images/ucla_botanical.jpg,Social
25-26,Interview Prep for Financial Engineering Jobs,"Join us for a special (BYO) Lunch & Learn this spring quarter. Listen to tips, advice, and information from 3rd Year PhD Student Jasen Zhang on how to prepare for interviews for financial engineering jobs!",TBD,5/15/26,12:00 PM,,images/lunchlearn_9.jpg,Lunch and Learn
25-26,End of Year Beach Day,,TBD,5/16/26,1:00 PM,,images/willrogers.jpg,Social
